záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
383	16.07.2019 17:17	30	1	2	6	0	24	44	9	1	
384	16.07.2019 18:17	52	0	12	2	0	24	44	9	1	
385	16.07.2019 19:17	30	2	3	5	0	24	44	9	1	
386	16.07.2019 20:17	45	0	5	7	0	24	44	9	1	
387	16.07.2019 21:17	78	0	15	6	0	24	44	9	1	
388	16.07.2019 22:17	71	1	9	10	0	24	44	9	1	
389	16.07.2019 23:17	78	1	12	9	0	24	44	9	1	
390	17.07.2019 00:17	131	1	18	17	0	24	44	9	1	
391	17.07.2019 01:17	136	2	20	16	0	24	45	9	1	
392	17.07.2019 02:17	129	4	21	14	0	23	45	9	1	
393	17.07.2019 03:17	132	4	20	16	0	23	45	9	1	
394	17.07.2019 04:17	169	2	27	19	0	23	45	9	1	
395	17.07.2019 05:17	254	1	32	37	0	23	45	9	1	
396	17.07.2019 06:17	280	5	37	39	0	23	45	9	1	
397	17.07.2019 07:17	247	3	20	47	0	23	45	9	1	
398	17.07.2019 08:17	99	1	9	18	0	23	45	9	1	
399	17.07.2019 09:17	114	0	10	21	0	23	45	9	1	
400	17.07.2019 10:17	51	3	5	9	0	23	45	9	1	
401	17.07.2019 11:17	29	1	6	2	0	23	45	9	1	
402	17.07.2019 12:17	25	0	6	1	0	23	45	9	1	
403	17.07.2019 13:17	41	3	7	4	0	24	45	9	1	
404	17.07.2019 14:17	22	0	3	3	0	24	45	9	1	
405	17.07.2019 15:17	34	0	4	5	0	24	45	9	1	
406	17.07.2019 16:17	26	1	3	4	0	24	45	9	1	
407	17.07.2019 17:17	18	1	2	3	0	24	45	9	1	
408	17.07.2019 18:17	23	0	3	3	0	25	44	9	1	
409	17.07.2019 19:17	19	0	4	1	0	25	44	9	1	
410	17.07.2019 20:17	34	0	4	5	0	25	44	9	1	
411	17.07.2019 21:17	34	0	3	6	0	25	44	9	1	
412	17.07.2019 22:17	26	2	4	3	0	25	44	9	1	
413	17.07.2019 23:17	71	0	13	6	0	24	44	9	1	
414	18.07.2019 00:17	94	1	13	12	0	24	45	9	1	
415	18.07.2019 01:17	113	3	14	16	0	24	45	9	1	
416	18.07.2019 02:17	109	0	16	13	0	24	45	9	1	
417	18.07.2019 03:17	181	4	25	23	0	24	45	9	1	
418	18.07.2019 04:17	193	3	21	30	0	24	45	9	1	
419	18.07.2019 05:17	132	6	16	20	0	23	45	9	1	
420	18.07.2019 06:17	192	1	27	25	0	23	45	9	1	
421	18.07.2019 07:17	236	3	34	30	0	23	45	9	1	
422	18.07.2019 08:17	166	2	19	26	0	23	45	9	1	
423	18.07.2019 09:17	87	3	8	15	0	24	45	9	1	
